iter	Passed	Remaining
558	15341	12103
559	15364	12071
560	15384	12038
561	15405	12006
562	15425	11973
563	15447	11941
564	15470	11911
565	15492	11879
566	15511	11845
567	15533	11814
568	15554	11781
569	15580	11753
570	15604	11724
571	15636	11700
572	15665	11673
573	15696	11649
574	15731	11627
575	15758	11599
576	15786	11572
577	15811	11543
578	15836	11514
579	15860	11484
580	15889	11458
581	15915	11430
582	15937	11399
583	15960	11369
584	15983	11338
585	16004	11307
586	16035	11282
587	16067	11258
588	16102	11235
589	16126	11206
590	16152	11178
591	16179	11150
592	16204	11122
593	16232	11095
594	16260	11067
595	16285	11039
596	16314	11013
597	16343	10986
598	16369	10958
599	16391	10927
600	16416	10898
601	16440	10869
602	16462	10838
603	16487	10809
604	16518	10784
605	16548	10759
606	16577	10733
607	16603	10705
608	16633	10679
609	16659	10650
610	16682	10621
611	16711	10594
612	16741	10569
613	16770	10542
614	16799	10516
615	16827	10490
616	16867	10470
617	16904	10449
618	16943	10428
619	16975	10404
620	17009	10380
621	17045	10359
622	17083	10337
623	17125	10319
624	17168	10301
625	17211	10283
626	17254	10264
627	17289	10241
628	17324	10218
629	17357	10194
630	17393	10171
631	17419	10143
632	17453	10119
633	17487	10095
634	17519	10070
635	17565	10053
636	17665	10066
637	17713	10050
638	17754	10030
639	17793	10008
640	17835	9989
641	17877	9968
642	17932	9956
643	17983	9941
644	18027	9922
645	18069	9901
646	18110	9880
647	18150	9859
648	18192	9838
649	18230	9816
650	18267	9793
651	18311	9773
652	18352	9752
653	18400	9734
654	18437	9711
655	18473	9687
656	18514	9665
657	18555	9644
658	18619	9634
659	18677	9621
660	18774	9628
661	18840	9619
662	18885	9599
663	18926	9577
664	18992	9567
665	19057	9557
666	19097	9534
667	19136	9510
668	19178	9488
669	19215	9464
670	19250	9438
671	19287	9414
672	19321	9388
673	19354	9361
674	19389	9335
675	19423	9309
676	19458	9283
677	19491	9257
678	19530	9232
679	19565	9207
680	19601	9181
681	19638	9156
682	19677	9133
683	19712	9106
684	19750	9082
685	19793	9059
686	19828	9034
687	19863	9008
688	19898	8981
689	19936	8957
690	19975	8932
691	20016	8909
692	20056	8885
693	20091	8858
694	20129	8833
695	20166	8808
696	20200	8781
697	20242	8758
698	20279	8732
699	20314	8706
700	20350	8680
701	20390	8655
702	20428	8630
703	20467	8605
704	20506	8580
705	20542	8554
706	20577	8527
707	20609	8499
708	20644	8473
709	20678	8446
710	20710	8418
711	20745	8391
712	20782	8365
713	20820	8339
714	20863	8316
715	20914	8295
716	20955	8271
717	21012	8252
718	21055	8229
719	21094	8203
720	21132	8177
721	21170	8151
722	21219	8129
723	21264	8106
724	21304	8080
725	21343	8055
726	21377	8027
727	21409	7999
728	21441	7970
729	21476	7943
730	21512	7916
731	21547	7889
732	21600	7868
